UniProt,PDB,Status
Q53R53,AF-Q53R53-F1.pdb,✅ Downloaded from AlphaFold
Q53R82,AF-Q53R82-F1.pdb,✅ Downloaded from AlphaFold
Q53RT0,AF-Q53RT0-F1.pdb,✅ Downloaded from AlphaFold
Q53TF9,AF-Q53TF9-F1.pdb,✅ Downloaded from AlphaFold
Q56A86,AF-Q56A86-F1.pdb,✅ Downloaded from AlphaFold
Q56UN5,AF-Q56UN5-F1.pdb,✅ Downloaded from AlphaFold
Q5D0E0,AF-Q5D0E0-F1.pdb,✅ Downloaded from AlphaFold
Q5TBG4,AF-Q5TBG4-F1.pdb,✅ Downloaded from AlphaFold
Q5TGY6,AF-Q5TGY6-F1.pdb,✅ Downloaded from AlphaFold
Q5VT25,AF-Q5VT25-F1.pdb,✅ Downloaded from AlphaFold
Q6DT37,AF-Q6DT37-F1.pdb,✅ Downloaded from AlphaFold
Q6IAW3,AF-Q6IAW3-F1.pdb,✅ Downloaded from AlphaFold
Q6LD14,AF-Q6LD14-F1.pdb,✅ Downloaded from AlphaFold
Q6P084,AF-Q6P084-F1.pdb,✅ Downloaded from AlphaFold
Q6P3R8,AF-Q6P3R8-F1.pdb,✅ Downloaded from AlphaFold
Q6P5Y5,AF-Q6P5Y5-F1.pdb,✅ Downloaded from AlphaFold
Q6PK02,AF-Q6PK02-F1.pdb,✅ Downloaded from AlphaFold
Q6XUX3,AF-Q6XUX3-F1.pdb,✅ Downloaded from AlphaFold
Q71UK5,AF-Q71UK5-F1.pdb,✅ Downloaded from AlphaFold
Q7KZI7,AF-Q7KZI7-F1.pdb,✅ Downloaded from AlphaFold
Q7L7X3,AF-Q7L7X3-F1.pdb,✅ Downloaded from AlphaFold
Q7Z4L4,AF-Q7Z4L4-F1.pdb,✅ Downloaded from AlphaFold
Q86UE8,AF-Q86UE8-F1.pdb,✅ Downloaded from AlphaFold
Q86UX6,AF-Q86UX6-F1.pdb,✅ Downloaded from AlphaFold
Q86V86,AF-Q86V86-F1.pdb,✅ Downloaded from AlphaFold
Q86Y07,AF-Q86Y07-F1.pdb,✅ Downloaded from AlphaFold
Q8IU85,AF-Q8IU85-F1.pdb,✅ Downloaded from AlphaFold
Q8IW41,AF-Q8IW41-F1.pdb,✅ Downloaded from AlphaFold
Q8IY84,AF-Q8IY84-F1.pdb,✅ Downloaded from AlphaFold
Q8N4C8,AF-Q8N4C8-F1.pdb,✅ Downloaded from AlphaFold
Q8N752,AF-Q8N752-F1.pdb,✅ Downloaded from AlphaFold
Q8NE63,AF-Q8NE63-F1.pdb,✅ Downloaded from AlphaFold
Q8NG69,AF-Q8NG69-F1.pdb,✅ Downloaded from AlphaFold
Q8NI60,AF-Q8NI60-F1.pdb,✅ Downloaded from AlphaFold
Q8TAX0,AF-Q8TAX0-F1.pdb,✅ Downloaded from AlphaFold
Q8TBX8,AF-Q8TBX8-F1.pdb,✅ Downloaded from AlphaFold
Q8TD08,AF-Q8TD08-F1.pdb,✅ Downloaded from AlphaFold
Q8TDC3,AF-Q8TDC3-F1.pdb,✅ Downloaded from AlphaFold
Q8WTQ7,AF-Q8WTQ7-F1.pdb,✅ Downloaded from AlphaFold
Q8WU08,AF-Q8WU08-F1.pdb,✅ Downloaded from AlphaFold
Q92772,AF-Q92772-F1.pdb,✅ Downloaded from AlphaFold
Q92918,AF-Q92918-F1.pdb,✅ Downloaded from AlphaFold
Q96D53,AF-Q96D53-F1.pdb,✅ Downloaded from AlphaFold
Q96GD4,AF-Q96GD4-F1.pdb,✅ Downloaded from AlphaFold
Q96HF4,AF-Q96HF4-F1.pdb,✅ Downloaded from AlphaFold
Q96KB5,AF-Q96KB5-F1.pdb,✅ Downloaded from AlphaFold
Q96L34,AF-Q96L34-F1.pdb,✅ Downloaded from AlphaFold
Q96L35,AF-Q96L35-F1.pdb,✅ Downloaded from AlphaFold
Q96PF2,AF-Q96PF2-F1.pdb,✅ Downloaded from AlphaFold
Q96Q40,AF-Q96Q40-F1.pdb,✅ Downloaded from AlphaFold
Q96RG2,AF-Q96RG2-F1.pdb,✅ Downloaded from AlphaFold
Q96RR4,AF-Q96RR4-F1.pdb,✅ Downloaded from AlphaFold
Q96SB4,AF-Q96SB4-F1.pdb,✅ Downloaded from AlphaFold
Q99683,AF-Q99683-F1.pdb,✅ Downloaded from AlphaFold
Q99755,AF-Q99755-F1.pdb,✅ Downloaded from AlphaFold
Q9BRL4,AF-Q9BRL4-F1.pdb,✅ Downloaded from AlphaFold
Q9BUB5,AF-Q9BUB5-F1.pdb,✅ Downloaded from AlphaFold
Q9BWF9,AF-Q9BWF9-F1.pdb,✅ Downloaded from AlphaFold
Q9BWU1,AF-Q9BWU1-F1.pdb,✅ Downloaded from AlphaFold
Q9BX84,AF-Q9BX84-F1.pdb,✅ Downloaded from AlphaFold
Q9BXA7,AF-Q9BXA7-F1.pdb,✅ Downloaded from AlphaFold
Q9BZL6,AF-Q9BZL6-F1.pdb,✅ Downloaded from AlphaFold
Q9C098,AF-Q9C098-F1.pdb,✅ Downloaded from AlphaFold
Q9H093,AF-Q9H093-F1.pdb,✅ Downloaded from AlphaFold
Q9H0K1,AF-Q9H0K1-F1.pdb,✅ Downloaded from AlphaFold
Q9H1R3,AF-Q9H1R3-F1.pdb,✅ Downloaded from AlphaFold
Q9H2G2,AF-Q9H2G2-F1.pdb,✅ Downloaded from AlphaFold
Q9H2X6,AF-Q9H2X6-F1.pdb,✅ Downloaded from AlphaFold
Q9H3Y6,AF-Q9H3Y6-F1.pdb,✅ Downloaded from AlphaFold
Q9H4B4,AF-Q9H4B4-F1.pdb,✅ Downloaded from AlphaFold
Q9HAZ1,AF-Q9HAZ1-F1.pdb,✅ Downloaded from AlphaFold
Q9HBH9,AF-Q9HBH9-F1.pdb,✅ Downloaded from AlphaFold
Q9HC98,AF-Q9HC98-F1.pdb,✅ Downloaded from AlphaFold
Q9HCP0,AF-Q9HCP0-F1.pdb,✅ Downloaded from AlphaFold
Q9M9V8,AF-Q9M9V8-F1.pdb,✅ Downloaded from AlphaFold
Q9NR20,AF-Q9NR20-F1.pdb,✅ Downloaded from AlphaFold
Q9NRM7,AF-Q9NRM7-F1.pdb,✅ Downloaded from AlphaFold
Q9NSY1,AF-Q9NSY1-F1.pdb,✅ Downloaded from AlphaFold
Q9NWZ3,AF-Q9NWZ3-F1.pdb,✅ Downloaded from AlphaFold
Q9NY57,AF-Q9NY57-F1.pdb,✅ Downloaded from AlphaFold
Q9NYL2,AF-Q9NYL2-F1.pdb,✅ Downloaded from AlphaFold
Q9P1W9,AF-Q9P1W9-F1.pdb,✅ Downloaded from AlphaFold
Q9P286,AF-Q9P286-F1.pdb,✅ Downloaded from AlphaFold
Q9P289,AF-Q9P289-F1.pdb,✅ Downloaded from AlphaFold
Q9P2K8,AF-Q9P2K8-F1.pdb,✅ Downloaded from AlphaFold
Q9UBE8,AF-Q9UBE8-F1.pdb,✅ Downloaded from AlphaFold
Q9UBF8,AF-Q9UBF8-F1.pdb,✅ Downloaded from AlphaFold
Q9UBS0,AF-Q9UBS0-F1.pdb,✅ Downloaded from AlphaFold
Q9UE13,AF-Q9UE13-F1.pdb,✅ Downloaded from AlphaFold
Q9UEE5,AF-Q9UEE5-F1.pdb,✅ Downloaded from AlphaFold
Q9UGI9,AF-Q9UGI9-F1.pdb,✅ Downloaded from AlphaFold
Q9UGJ0,AF-Q9UGJ0-F1.pdb,✅ Downloaded from AlphaFold
Q9UHD2,AF-Q9UHD2-F1.pdb,✅ Downloaded from AlphaFold
Q9UK32,AF-Q9UK32-F1.pdb,✅ Downloaded from AlphaFold
Q9UM73,AF-Q9UM73-F1.pdb,✅ Downloaded from AlphaFold
Q9UPZ9,AF-Q9UPZ9-F1.pdb,✅ Downloaded from AlphaFold
Q9UQM7,AF-Q9UQM7-F1.pdb,✅ Downloaded from AlphaFold
Q9Y243,AF-Q9Y243-F1.pdb,✅ Downloaded from AlphaFold
Q9Y2H1,AF-Q9Y2H1-F1.pdb,✅ Downloaded from AlphaFold
Q9Y2K2,AF-Q9Y2K2-F1.pdb,✅ Downloaded from AlphaFold
Q9Y463,AF-Q9Y463-F1.pdb,✅ Downloaded from AlphaFold
Q9Y478,AF-Q9Y478-F1.pdb,✅ Downloaded from AlphaFold
Q9Y4K4,AF-Q9Y4K4-F1.pdb,✅ Downloaded from AlphaFold
Q9Y616,AF-Q9Y616-F1.pdb,✅ Downloaded from AlphaFold
Q9Y6E0,AF-Q9Y6E0-F1.pdb,✅ Downloaded from AlphaFold
Q9Y6M4,AF-Q9Y6M4-F1.pdb,✅ Downloaded from AlphaFold
R0M6W4,AF-R0M6W4-F1.pdb,✅ Downloaded from AlphaFold
R4GN93,AF-R4GN93-F1.pdb,✅ Downloaded from AlphaFold
U3KPR9,AF-U3KPR9-F1.pdb,✅ Downloaded from AlphaFold
U6DL86,AF-U6DL86-F1.pdb,✅ Downloaded from AlphaFold
X2QIK8,AF-X2QIK8-F1.pdb,✅ Downloaded from AlphaFold
X5D2Y0,AF-X5D2Y0-F1.pdb,✅ Downloaded from AlphaFold
X5DNK3,AF-X5DNK3-F1.pdb,✅ Downloaded from AlphaFold
X6RE90,AF-X6RE90-F1.pdb,✅ Downloaded from AlphaFold
A0A087WV31,AF-A0A087WV31-F1.pdb,❌ AlphaFold not found (Retry)
A0A140T8W5,AF-A0A140T8W5-F1.pdb,❌ AlphaFold not found (Retry)
A0A7I2V2J2,AF-A0A7I2V2J2-F1.pdb,❌ AlphaFold not found (Retry)
A0A7I2V3K8,AF-A0A7I2V3K8-F1.pdb,❌ AlphaFold not found (Retry)
A0A7I2V692,AF-A0A7I2V692-F1.pdb,❌ AlphaFold not found (Retry)
A0A8I5KQ77,AF-A0A8I5KQ77-F1.pdb,❌ AlphaFold not found (Retry)
A0A8I5KRE7,AF-A0A8I5KRE7-F1.pdb,❌ AlphaFold not found (Retry)
A0A8I5KU53,AF-A0A8I5KU53-F1.pdb,❌ AlphaFold not found (Retry)
A0A8J0UHZ4,AF-A0A8J0UHZ4-F1.pdb,❌ AlphaFold not found (Retry)
A0A8J0UMT9,AF-A0A8J0UMT9-F1.pdb,❌ AlphaFold not found (Retry)
A0A8Q3SHZ6,AF-A0A8Q3SHZ6-F1.pdb,❌ AlphaFold not found (Retry)
A0A8V8TL82,AF-A0A8V8TL82-F1.pdb,❌ AlphaFold not found (Retry)
A0A8V8TMV3,AF-A0A8V8TMV3-F1.pdb,❌ AlphaFold not found (Retry)
A0A8V8TN65,AF-A0A8V8TN65-F1.pdb,❌ AlphaFold not found (Retry)
A0A8V8TPN2,AF-A0A8V8TPN2-F1.pdb,❌ AlphaFold not found (Retry)
A0A8V8TPW6,AF-A0A8V8TPW6-F1.pdb,❌ AlphaFold not found (Retry)
A0A8V8TRG9,AF-A0A8V8TRG9-F1.pdb,❌ AlphaFold not found (Retry)
A0A994J419,AF-A0A994J419-F1.pdb,❌ AlphaFold not found (Retry)
A0A994J797,AF-A0A994J797-F1.pdb,❌ AlphaFold not found (Retry)
A0A9H4CVU7,AF-A0A9H4CVU7-F1.pdb,❌ AlphaFold not found (Retry)
A0AA34QVH7,AF-A0AA34QVH7-F1.pdb,❌ AlphaFold not found (Retry)
A0AAQ5BGM0,AF-A0AAQ5BGM0-F1.pdb,❌ AlphaFold not found (Retry)
A0AAQ5BHJ3,AF-A0AAQ5BHJ3-F1.pdb,❌ AlphaFold not found (Retry)
A0AAQ5BHR6,AF-A0AAQ5BHR6-F1.pdb,❌ AlphaFold not found (Retry)
A0AAQ5BHT0,AF-A0AAQ5BHT0-F1.pdb,❌ AlphaFold not found (Retry)
A0AAQ5BI97,AF-A0AAQ5BI97-F1.pdb,❌ AlphaFold not found (Retry)
C9J5X1,AF-C9J5X1-F1.pdb,❌ AlphaFold not found (Retry)
E9PD35,AF-E9PD35-F1.pdb,❌ AlphaFold not found (Retry)
F5GWN5,AF-F5GWN5-F1.pdb,❌ AlphaFold not found (Retry)
F5H4I7,AF-F5H4I7-F1.pdb,✅ Downloaded from AlphaFold (Retry)
G5E9L9,AF-G5E9L9-F1.pdb,✅ Downloaded from AlphaFold (Retry)
H0Y5V5,AF-H0Y5V5-F1.pdb,❌ AlphaFold not found (Retry)
H0Y871,AF-H0Y871-F1.pdb,❌ AlphaFold not found (Retry)
H0Y8R4,AF-H0Y8R4-F1.pdb,❌ AlphaFold not found (Retry)
H0YDG1,AF-H0YDG1-F1.pdb,❌ AlphaFold not found (Retry)
H0YES6,AF-H0YES6-F1.pdb,❌ AlphaFold not found (Retry)
H0YH32,AF-H0YH32-F1.pdb,❌ AlphaFold not found (Retry)
H0YN24,AF-H0YN24-F1.pdb,❌ AlphaFold not found (Retry)
H3BLT0,AF-H3BLT0-F1.pdb,❌ AlphaFold not found (Retry)
H3BPN6,AF-H3BPN6-F1.pdb,✅ Downloaded from AlphaFold (Retry)
H7C0F8,AF-H7C0F8-F1.pdb,❌ AlphaFold not found (Retry)
H7C1T4,AF-H7C1T4-F1.pdb,❌ AlphaFold not found (Retry)
H7C224,AF-H7C224-F1.pdb,❌ AlphaFold not found (Retry)
H7C3J2,AF-H7C3J2-F1.pdb,❌ AlphaFold not found (Retry)
J3KT86,AF-J3KT86-F1.pdb,❌ AlphaFold not found (Retry)
K7EJI7,AF-K7EJI7-F1.pdb,❌ AlphaFold not found (Retry)
K7EKK9,AF-K7EKK9-F1.pdb,❌ AlphaFold not found (Retry)
P52333,AF-P52333-F1.pdb,✅ Downloaded from AlphaFold (Retry)
P78368,AF-P78368-F1.pdb,✅ Downloaded from AlphaFold (Retry)
Q00534,AF-Q00534-F1.pdb,✅ Downloaded from AlphaFold (Retry)
Q06187,AF-Q06187-F1.pdb,✅ Downloaded from AlphaFold (Retry)
Q15078,AF-Q15078-F1.pdb,✅ Downloaded from AlphaFold (Retry)
Q9HBY8,AF-Q9HBY8-F1.pdb,✅ Downloaded from AlphaFold (Retry)
