Query,PubChem CID,Molecular Weight,Molecular Formula
CHEMBL1970142,49830353,525.6,C28H27N7O2S
CHEMBL1970189,2813676,286.71,C14H11ClN4O
CHEMBL1970203,49830378,432.5,C22H20N6O2S
CHEMBL1970217,49830483,346.4,C22H22N2O2
CHEMBL1970290,46945066,526.7,C31H38N6O2
CHEMBL1970314,49830959,263.29,C16H13N3O
CHEMBL1970317,49830359,458.5,C24H19FN6OS
CHEMBL1970340,49831015,226.23,C13H10N2O2
CHEMBL1970352,3335325,471.3,C22H18INO3
CHEMBL1970369,49830477,339.3,C17H17N5O3
CHEMBL1970522,135435475,326.4,C17H14N2O3S
CHEMBL1970709,24768216,345.19,C15H13BrN4O
CHEMBL1970735,49830860,234.25,C11H14N4O2
CHEMBL1970806,135654401,323.4,C16H13N5OS
CHEMBL1970873,49830568,224.26,C14H12N2O
CHEMBL1970879,9549184,621.7,C34H39N9O3
CHEMBL1970903,20744821,397.5,C24H23N5O
CHEMBL1970913,49830928,310.35,C17H18N4O2
CHEMBL1970950,49830523,336.3,C18H16N4O3
CHEMBL1971017,49830789,272.30,C14H9FN2OS
CHEMBL1971021,11189864,439.4,C24H20F3N3O2
CHEMBL1971029,49830511,590.5,C24H28BrN7O4S
CHEMBL1971132,49830725,365.3,C19H18F3NO3
CHEMBL1971141,49830387,345.4,C21H19N3O2
CHEMBL1971149,49830616,438.4,C22H20F2N6O2
CHEMBL1971172,49830296,407.9,C18H22ClN5O2S
CHEMBL1971186,11417587,378.4,C20H19FN6O
CHEMBL1971223,49830646,513.6,C30H35N5O3
CHEMBL1971227,21700057,465.4,C22H18F3NO5S
CHEMBL1971245,49830408,428.5,C23H24N8O
CHEMBL1971289,4589745,264.30,C12H12N2O3S
CHEMBL1971430,18767859,425.5,C26H27N5O
CHEMBL1971485,49830416,630.8,C35H34N8O2S
CHEMBL1971519,49830782,227.24,C13H10FN3
CHEMBL1971534,20244403,178.21,C8H6N2OS
CHEMBL1971606,49830504,378.4,C23H23FN2O2
CHEMBL1971649,49830376,387.4,C22H18FN5O
CHEMBL1971694,145948328,282.34,C12H15FN4OS
CHEMBL1971801,10398257,212.21,C11H8N4O
CHEMBL1971943,11524200,402.8,C18H13ClF2N6O
CHEMBL1971947,11442914,475.6,C28H21N5OS
CHEMBL1972119,24859161,417.4,C20H18F3N5O2
CHEMBL1972125,49830438,462.5,C29H26N4O2
CHEMBL1972142,49830491,327.4,C21H17N3O
CHEMBL1972152,2818965,259.29,C12H9N3O2S
CHEMBL1972158,49830432,366.4,C22H18N6
CHEMBL1972183,18458840,296.4,C19H24N2O
CHEMBL1972220,46223254,536.6,C26H22F2N6O3S
CHEMBL1972221,49830832,386.5,C19H22N4O3S
CHEMBL1972250,49830638,312.3,C19H12N4O
CHEMBL1972258,49830749,255.31,C15H17N3O
CHEMBL1972276,23433024,366.5,C20H26N6O
CHEMBL1972290,49830298,287.75,C14H14ClN5
CHEMBL1972339,49830464,383.4,C23H18FN5
CHEMBL1972346,4813,244.24,C14H12O4
CHEMBL1972355,135536753,322.3,C18H14N2O4
CHEMBL1972362,49830791,332.4,C15H12N2O3S2
CHEMBL1972365,404051,210.23,C12H10N4
CHEMBL1972454,49831022,175.19,C9H9N3O
CHEMBL1972462,46873764,271.35,C17H21NO2
CHEMBL1972489,2305717,271.70,C14H10ClN3O
CHEMBL1972568,49830750,212.25,C13H12N2O
CHEMBL1972576,49830369,418.5,C21H18N6O2S
CHEMBL1972583,14501860,238.24,C13H10N4O
CHEMBL1972584,49830623,591.7,C33H37N9O2
CHEMBL1972659,136027072,358.4,C23H22N2O2
CHEMBL1972820,246391,283.23,C15H9NO5
CHEMBL1972840,49830599,400.5,C23H20N4OS
CHEMBL1972849,49830803,410.4,C20H16F2N6O2
CHEMBL1972934,4269486,151.19,C6H5N3S
CHEMBL1972937,135533388,310.4,C17H14N2O2S
CHEMBL1972988,49830316,230.65,C11H7ClN4
CHEMBL1973013,49830727,328.23,C11H14BrN5S
CHEMBL1973016,49830807,373.4,C18H19N3O4S
CHEMBL1973098,2831603,267.3,C11H9NO3S2
CHEMBL1973138,46894109,579.7,C34H37N5O4
CHEMBL1973142,49831025,303.2,C11H8Cl2N2O2S
CHEMBL1973145,49830382,390.5,C20H18N6OS
CHEMBL1973178,11856995,458.4,C22H17F3N4O4
CHEMBL1973211,18451223,481.6,C28H27N5OS
CHEMBL1973348,49830454,497.0,C29H25ClN4O2
CHEMBL1973359,49831046,272.22,C12H8N4O4
CHEMBL1973363,49830551,393.4,C21H23N5O3
CHEMBL1973395,49830291,294.35,C17H18N4O
CHEMBL1973399,49830990,196.23,C8H8N2O2S
CHEMBL1973483,49830700,400.28,C17H10F6N4O
CHEMBL1973516,49830841,439.5,C24H25N9
CHEMBL1973540,3536,449.5,C21H15N5O3S2
CHEMBL1973711,135497772,287.66,C13H6ClN3O3
CHEMBL1973720,49830273,342.8,C17H19ClN6
CHEMBL1973793,49830770,429.3,C19H13BrN2O3S
CHEMBL1973795,19078761,209.24,C14H11NO
CHEMBL1973808,17163635,271.70,C14H10ClN3O
CHEMBL1973860,49830963,270.4,C15H14N2OS
CHEMBL1973868,49831029,222.24,C14H10N2O
CHEMBL1973893,49830833,372.4,C18H20N4O3S
CHEMBL1973937,49830370,436.3,C21H18BrN5O
CHEMBL1973961,49830780,491.5,C27H27F2N5O2
CHEMBL1974157,2390,294.30,C17H14N2O3
CHEMBL1974254,49830362,484.6,C26H24N6O2S
CHEMBL1974288,49830479,318.4,C20H18N2O2
CHEMBL1974310,18516237,272.30,C14H9FN2OS
CHEMBL1974328,22665513,340.4,C18H24N6O
CHEMBL1974363,49830733,344.4,C20H16N4O2
CHEMBL1974416,49830276,349.3,C20H13F2N3O
CHEMBL1974457,49830793,273.28,C14H8FNO2S
CHEMBL1974480,136027067,351.16,C13H11BrN4O3
CHEMBL1974574,49830820,253.26,C14H11N3O2
CHEMBL1974617,25165082,215.21,C11H9N3O2
CHEMBL1974664,49830998,347.4,C19H17N5O2
CHEMBL1974702,49830896,330.59,C11H5BrClNO2S
CHEMBL1974803,9820089,356.6,C15H8Cl3NO3
CHEMBL1974870,20744829,392.9,C22H21ClN4O
CHEMBL1974875,49830989,212.23,C8H8N2O3S
CHEMBL1974935,49830597,370.4,C23H22N4O
CHEMBL1974998,49830668,494.6,C29H30N6O2
CHEMBL1975121,49830489,332.4,C21H20N2O2
CHEMBL1975128,49830433,416.22,C16H13IN6
CHEMBL1975138,2797246,395.5,C21H18FN3O2S
CHEMBL1975208,49830892,348.33,C16H17FN4O4
CHEMBL1975212,15314692,227.29,C12H9N3S
CHEMBL1975233,49830696,317.73,C14H12ClN5O2
CHEMBL1975256,2044508,386.4,C14H10N8O2S2
CHEMBL1975357,49831038,365.5,C22H27N3O2
CHEMBL197538,44143344,426.9,C21H20ClFN6O
CHEMBL1975418,25164882,315.4,C19H17N5
CHEMBL1975490,49830539,414.5,C24H22N4O3
CHEMBL1975500,9981692,460.5,C25H24N4O5
CHEMBL1975503,49830831,226.23,C12H10N4O
CHEMBL1975534,49830925,363.16,C10H14IN5O2
CHEMBL1975647,24859296,283.26,C14H10FN5O
CHEMBL1975787,18516214,290.29,C14H8F2N2OS
CHEMBL1975900,49830881,348.2,C16H11Cl2N3O2
CHEMBL1975903,49830632,355.4,C18H17N3O3S
CHEMBL1975921,1924413,214.02,C6H4BrN3O
CHEMBL1975923,255603,316.35,C17H20N2O4
CHEMBL1975927,49830536,406.4,C22H22N4O4
CHEMBL1976040,24856436,500.6,C27H32N8O2
CHEMBL1976090,24203040,218.24,C8H6N6S
CHEMBL1976093,49830604,419.5,C23H26FN7
CHEMBL1976134,49830865,234.26,C14H10N4
CHEMBL1976158,49830967,372.13,C15H6BrN3O4
CHEMBL1976196,49831034,405.2,C18H14Cl2N4O3
CHEMBL1976220,18451366,439.3,C20H15BrN4OS
CHEMBL1976240,49830482,347.4,C21H21N3O2
CHEMBL1976290,49830501,241.26,C15H12FNO
CHEMBL1976328,11338239,388.5,C22H20N4OS
CHEMBL1976376,49830756,402.4,C23H22N4O3
CHEMBL1976420,24755603,281.35,C17H19N3O
CHEMBL1976455,24858859,333.27,C15H10F3N5O
CHEMBL1976732,49830801,410.4,C20H16F2N6O2
CHEMBL1976872,22402079,175.19,C9H9N3O
CHEMBL1976936,49830330,343.8,C17H18ClN5O
CHEMBL1977041,49830361,416.4,C22H20N6O3
CHEMBL1977128,49830471,419.4,C24H17N7O
CHEMBL1977134,49830343,532.5,C27H19F3N6O3
CHEMBL1977135,11196984,288.3,C19H16N2O
CHEMBL1977138,49830640,358.4,C20H15FN6
CHEMBL1977148,49830363,500.6,C26H24N6O3S
CHEMBL1977223,25164472,360.4,C20H20N6O
CHEMBL1977346,11993789,338.10,C11H7IN4O
CHEMBL1977374,49830802,380.4,C20H18F2N6
CHEMBL1977604,49830875,381.4,C17H17F2N3O3S
CHEMBL1977619,49830805,245.26,C11H7N3O2S
CHEMBL1977634,49830650,470.5,C27H26N4O4
CHEMBL1977681,49830731,275.30,C13H10FN3OS
CHEMBL1977713,22337591,300.74,C15H13ClN4O
CHEMBL1977749,49831023,277.3,C18H15NO2
CHEMBL1977814,49831005,319.78,C16H18ClN3O2
CHEMBL1977931,49830887,237.26,C14H11N3O
CHEMBL1978014,25164470,415.5,C23H25N7O
CHEMBL1978099,49830512,460.5,C20H21FN6O4S
CHEMBL1978166,49830344,525.7,C31H35N5OS
CHEMBL1978167,49830677,327.18,C15H11BrN4
CHEMBL1978195,18516106,333.20,C14H9BrN2OS
CHEMBL1978200,24947488,424.4,C22H22F2N6O
CHEMBL1978267,49830417,616.7,C34H32N8O2S
CHEMBL1978271,49830655,515.6,C29H33N5O4
CHEMBL1978371,12678237,411.9,C26H18ClNO2
CHEMBL1978448,49830711,331.4,C16H17N3O3S
CHEMBL1978562,49831051,352.19,C16H10BrN5
CHEMBL1978567,49830710,353.4,C19H19N3O2S
CHEMBL1978656,49831001,344.4,C20H16N4O2
CHEMBL1979057,11221493,340.4,C21H16N4O
CHEMBL1979093,11463885,406.4,C22H19FN4O3
CHEMBL1979176,49830698,362.31,C17H13F3N4O2
CHEMBL197923,44406013,347.4,C20H17N3OS
CHEMBL1979252,25205759,347.29,C17H12F3N3O2
CHEMBL1979318,600129,378.17,C14H11IN4O
CHEMBL1979357,49830874,354.4,C23H22N4
CHEMBL1979516,49830371,449.5,C23H20FN5O2S
CHEMBL1979554,49830547,387.2,C18H12Cl2N4O2
CHEMBL1979577,18451141,455.6,C26H25N5OS
CHEMBL1979690,49830399,434.9,C22H23ClN8
CHEMBL1979718,794531,345.4,C20H19N5O
CHEMBL1979773,49830654,484.6,C28H32N6O2
CHEMBL1979855,49830663,466.5,C27H26N6O2
CHEMBL1979883,18451176,455.6,C26H25N5OS
CHEMBL1979933,49830522,325.30,C16H12FN5O2
CHEMBL1979970,49830930,317.29,C15H13F2N5O
CHEMBL1980142,49830703,400.28,C17H10F6N4O
CHEMBL1980144,49830566,418.5,C21H18N6O2S
CHEMBL1980161,20135774,167.59,C7H6ClN3
CHEMBL1980163,5209964,327.4,C21H17N3O
CHEMBL1980167,49830678,490.5,C24H22N6O4S
CHEMBL1980178,49830307,384.9,C19H21ClN6O
CHEMBL1980246,49830808,293.32,C16H15N5O
CHEMBL1980253,49830297,329.78,C16H16ClN5O
CHEMBL1980297,46207586,488.5,C25H21FN6O2S
CHEMBL1980329,49830822,302.3,C19H14N2O2
CHEMBL1980376,49830766,224.26,C14H12N2O
CHEMBL1980391,135398512,356.8,C18H14ClFN4O
CHEMBL1980407,49830430,436.5,C27H24N4O2
CHEMBL1980435,49830466,424.5,C24H20N6O2
CHEMBL1980489,25206387,313.74,C16H12ClN3O2
CHEMBL1980540,49830701,366.72,C16H10ClF3N4O
CHEMBL1980562,49830302,420.9,C18H21ClN6O2S
CHEMBL1980592,135655504,297.34,C14H11N5OS
CHEMBL1980671,49830567,227.22,C11H9N5O
CHEMBL1980704,4306353,345.4,C19H15N5S
CHEMBL1980715,3038489,376.5,C20H36N6O
CHEMBL1980763,49830768,385.9,C20H24ClN5O
CHEMBL1980802,49830839,391.76,C16H14ClN5O5
CHEMBL1980896,49830671,473.8,C20H14BrClN4OS
CHEMBL1980904,49830783,429.4,C21H15F4N5O
CHEMBL1980995,5279,466.5,C28H26N4O3
CHEMBL1981045,49830579,611.7,C35H37N3O7
CHEMBL1981047,21874004,474.6,C26H30N6O3
CHEMBL1981079,24809834,331.73,C15H11ClFN5O
CHEMBL1981107,2765796,150.18,C8H10N2O
CHEMBL1981215,49830689,398.29,C17H11F5N4O2
CHEMBL1981410,49830593,455.4,C22H20F3N7O
CHEMBL1981492,49830864,191.19,C9H9N3O2
CHEMBL1981511,49830573,301.3,C19H15N3O
CHEMBL1981671,49830721,219.24,C11H13N3O2
CHEMBL1981720,24772168,265.27,C14H11N5O
CHEMBL1981725,49830406,612.7,C36H33FN8O
CHEMBL1981744,49830680,366.72,C16H10ClF3N4O
CHEMBL1981782,49830545,335.2,C15H12Cl2N4O
CHEMBL1981792,49830691,368.26,C16H9F5N4O
CHEMBL1981947,49830736,475.5,C24H24F3N3O4
CHEMBL1982122,49830486,361.5,C21H19N3OS
CHEMBL1982135,49830379,401.5,C22H19N5OS
CHEMBL1982167,45908781,374.4,C21H18N4O3
CHEMBL1982271,49830312,427.9,C21H26ClN7O
CHEMBL1982361,49830582,297.28,C16H12FN3O2
CHEMBL1982383,49830611,435.5,C23H26FN7O
CHEMBL1982400,25164272,351.4,C22H17N5
CHEMBL1982413,4714238,304.8,C17H21ClN2O
CHEMBL1982465,18451208,497.6,C28H27N5O2S
CHEMBL1982466,49830351,454.5,C25H22N6OS
CHEMBL1982476,49830356,451.9,C22H18ClN5O2S
CHEMBL1982506,15314616,258.23,C13H10N2O4
CHEMBL1982541,49830931,370.4,C19H22N4O4
CHEMBL1982563,49830609,420.5,C23H25FN6O
CHEMBL1982610,136027071,371.56,C12H7ClIN3O
CHEMBL1982660,49830684,362.31,C17H13F3N4O2
CHEMBL1982700,49830995,374.5,C21H30N2O4
CHEMBL1982711,49830274,271.70,C14H10ClN3O
CHEMBL1982753,9928802,359.9,C18H22ClN5O
CHEMBL1982866,49831004,314.77,C16H15ClN4O
CHEMBL1982874,24952851,403.5,C22H18FN5S
CHEMBL1982880,49830719,347.4,C19H17N5O2
CHEMBL1982924,49830287,343.4,C21H17N3O2
CHEMBL1982957,49830277,313.4,C20H15N3O
CHEMBL1982980,49830850,432.3,C23H23Cl2NO3
CHEMBL1982982,49830496,321.3,C19H16FN3O
CHEMBL1982992,15745966,277.73,C12H8ClN3OS
CHEMBL1983006,49830702,347.71,C14H10ClN5O4
CHEMBL1983025,18451135,483.6,C28H29N5OS
CHEMBL1983070,136027079,345.4,C21H19N3O2
CHEMBL1983111,49830590,474.5,C23H25F3N6O2
CHEMBL1983195,2213120,376.4,C21H20N4O3
CHEMBL1983268,25141092,560.6,C31H34F2N6O2
CHEMBL1983309,5057999,348.8,C16H13ClN2O3S
CHEMBL1983348,136027065,386.4,C22H22N6O
CHEMBL1983393,49830428,346.4,C20H15FN4O
CHEMBL1983449,25205919,307.3,C18H17N3O2
CHEMBL1983534,44237411,317.4,C19H15N3S
CHEMBL1983573,49830862,236.27,C14H12N4
CHEMBL1983575,136027060,413.06,C14H11Br2N3O2
CHEMBL1983589,49830333,342.8,C17H19ClN6
CHEMBL1983595,49830474,428.9,C23H17ClN6O
CHEMBL1983630,15504063,210.23,C13H10N2O
CHEMBL1983640,49830347,499.5,C28H26FN5O3
CHEMBL1983715,23652669,437.6,C22H27N7OS
CHEMBL1983884,12666261,185.19,C9H7N5
CHEMBL1983923,49831008,375.5,C21H25N7
CHEMBL1983932,49830695,373.20,C16H13BrN4O2
CHEMBL1983945,49830556,383.4,C23H21N5O
CHEMBL1983963,10043997,359.4,C20H17N5O2
CHEMBL1983980,46837054,542.6,C28H22N4O4S2
CHEMBL1984038,49830576,545.6,C29H27N3O6S
CHEMBL1984039,49830849,453.5,C28H27N3O3
CHEMBL1984044,9798600,352.4,C20H24N4O2
CHEMBL1984162,49830620,527.6,C29H33N7O3
CHEMBL1984191,49830951,291.13,C13H8Cl2N4
CHEMBL1984206,49830857,297.31,C15H15N5O2
CHEMBL1984236,49830926,363.3,C15H15BrN4S
CHEMBL1984274,3109350,424.4,C23H16N6O3
CHEMBL1984296,868869,342.4,C22H18N2O2
CHEMBL1984363,11268820,374.4,C22H19FN4O
CHEMBL1984367,49830762,376.5,C21H20N4OS
CHEMBL1984402,13811517,243.26,C13H13N3O2
CHEMBL1984432,25166655,303.4,C18H17N5
CHEMBL1984500,21907509,212.04,C8H6BrNO
CHEMBL1984548,49830518,343.77,C15H14ClN7O
CHEMBL1984586,10338500,359.4,C20H17N5O2
CHEMBL1984633,49830708,339.4,C18H17N3O2S
CHEMBL1984686,49831052,301.14,C13H9BrN4
CHEMBL1984700,49830615,454.5,C23H24F2N6O2
CHEMBL1984711,21060786,425.5,C22H27N5O4
CHEMBL1984760,49830533,391.4,C19H20F3N5O
CHEMBL1984788,16666093,372.8,C19H18ClFN4O
CHEMBL1984842,49830618,464.5,C25H29FN6O2
CHEMBL1984847,136027089,444.2,C17H13BrF3N3O3
CHEMBL1985042,617753,241.24,C13H11N3O2
CHEMBL1985074,49830890,278.76,C13H11ClN2OS
CHEMBL1985092,136027088,377.8,C21H16ClN3O2
CHEMBL1985095,49830742,439.5,C23H17N7OS
CHEMBL1985153,49830525,327.4,C17H21N5O2
CHEMBL1985206,49830637,306.4,C18H14N2OS
CHEMBL1985309,23433114,350.4,C19H22N6O
CHEMBL1985311,49830670,391.4,C21H18FN5O2
CHEMBL1985367,49830840,276.34,C17H16N4
CHEMBL1985406,49830787,315.32,C17H15F2N3O
CHEMBL1985469,2866301,324.4,C18H20N4O2
CHEMBL1985491,11338257,389.4,C22H20FN5O
CHEMBL1985566,49830577,560.6,C34H32N4O4
CHEMBL1985580,49830746,394.5,C25H22N4O
CHEMBL1985681,49831011,305.3,C18H15N3O2
CHEMBL1985723,49830295,329.8,C17H20ClN5
CHEMBL1985888,11546373,426.4,C21H17F3N6O
CHEMBL1986139,15745956,261.73,C12H8ClN3S
CHEMBL1986143,49830500,332.4,C21H20N2O2
CHEMBL1986177,49831018,430.9,C18H15ClN6OS2
CHEMBL1986186,9881974,273.33,C15H19N3O2
CHEMBL1986263,11210054,342.4,C17H18N4O2S
CHEMBL1986265,49830724,399.8,C19H17ClF3NO3
CHEMBL1986328,4323109,348.4,C19H16N4O3
CHEMBL1986499,49830434,384.4,C22H17FN6
CHEMBL1986503,2801756,206.59,C7H3ClN6
CHEMBL1986530,25002232,448.5,C24H25FN6O2
CHEMBL1986588,43237179,195.24,C8H9N3OS
CHEMBL1986590,315880,260.29,C17H12N2O
CHEMBL1986597,49830559,505.5,C25H23N5O5S
CHEMBL1986603,23642173,451.5,C21H21N7O3S
CHEMBL1986666,49830521,347.3,C17H13N7O2
CHEMBL1986684,49830970,232.28,C12H16N4O
CHEMBL1986756,49830690,360.3,C18H15F3N4O
CHEMBL1986781,11407497,420.4,C22H21FN6O2
CHEMBL1986851,49830373,502.6,C26H23FN6O2S
CHEMBL1986855,49830310,348.4,C20H17FN4O
CHEMBL1986869,47001891,367.5,C17H13N5OS2
CHEMBL1986899,49830961,292.3,C19H17FN2
CHEMBL1986943,49830272,343.8,C17H18ClN5O
CHEMBL1986970,49830462,390.4,C21H22N6O2
CHEMBL1986979,49830672,393.4,C21H17F2N5O
CHEMBL1986996,49831026,315.3,C15H13N3O3S
CHEMBL1987007,49830759,340.4,C18H20N4OS
CHEMBL1987009,49830565,363.4,C20H17N3O2S
CHEMBL1987034,15605335,475.3,C18H15BrN6O3S
CHEMBL1987054,49830621,548.0,C28H30ClN7O3
CHEMBL1987073,49830475,428.9,C23H17ClN6O
CHEMBL1987143,49830923,210.23,C12H10N4
CHEMBL1987261,49830306,313.4,C17H20FN5
CHEMBL1987359,13984334,355.4,C20H25N3O3
CHEMBL1987430,49830704,374.4,C19H17F3N4O
CHEMBL1987448,49830311,244.68,C12H9ClN4
CHEMBL1987533,36559462,285.73,C15H12ClN3O
CHEMBL1987535,44632634,352.5,C19H20N4OS
CHEMBL1987648,15981404,406.5,C22H23FN6O
CHEMBL1987679,22607266,400.4,C23H20N4O3
CHEMBL1987745,49830575,321.8,C18H12ClN3O
CHEMBL1987756,3541,446.4,C20H20BrN3O2S
CHEMBL1987793,25100740,435.5,C29H25NO3
CHEMBL1987815,49830804,244.27,C11H8N4OS
CHEMBL1987910,18451363,428.4,C21H15F3N4OS
CHEMBL1987948,49830301,420.9,C18H21ClN6O2S
CHEMBL1987982,49830978,358.4,C20H17F3N2O
CHEMBL1987998,46872622,331.8,C18H18ClNO3
CHEMBL1988075,49830350,469.5,C26H20FN5OS
CHEMBL1988076,49830411,502.6,C29H22N6OS
CHEMBL1988141,49831006,277.32,C14H19N3O3
CHEMBL1988153,18516203,377.3,C17H10F3N3O2S
CHEMBL1988163,49830876,365.4,C18H15N5O2S
CHEMBL1988173,2797247,425.9,C22H20ClN3O2S
CHEMBL1988300,49830814,383.5,C22H17N5S
CHEMBL1988370,9825149,453.6,C28H31N5O
CHEMBL1988387,49830352,506.5,C25H20F2N6O2S
CHEMBL1988437,3086685,386.5,C22H18N4OS
CHEMBL1988537,23882428,368.8,C19H13ClN2O2S
CHEMBL1988581,2827827,233.27,C12H15N3O2
CHEMBL1988594,49830377,404.4,C20H16N6O2S
CHEMBL1988608,49830544,375.4,C20H17N5O3
CHEMBL1988622,49831048,221.26,C14H11N3
CHEMBL1988692,22060010,268.31,C15H16N4O
CHEMBL1988717,24894081,492.5,C24H19F3N8O
CHEMBL1988778,49830786,393.4,C21H17F2N5O
CHEMBL1988805,49830642,241.27,C11H7N5S
CHEMBL1988838,49830509,428.5,C19H20N6O4S
CHEMBL1988872,49830834,317.37,C14H15N5O2S
CHEMBL1988995,25134688,380.4,C19H14F2N6O
CHEMBL1989029,87939151,269.30,C15H15N3O2
CHEMBL1989043,18521941,462.4,C21H21Cl2N5OS
CHEMBL1989265,20261448,363.4,C17H18FN3O3S
CHEMBL1989267,49830815,568.7,C31H32N6O3S
CHEMBL1989423,3392643,156.18,C10H8N2
CHEMBL1989471,49830969,252.31,C16H16N2O
CHEMBL1989474,49830854,254.26,C14H11FN4
CHEMBL1989518,49830748,241.29,C14H15N3O
CHEMBL1989569,49830560,324.4,C18H20N4O2
CHEMBL1989646,49830442,304.3,C17H16N6
CHEMBL1989708,49830367,498.6,C27H26N6O2S
CHEMBL1989805,3270866,380.4,C18H12N4O4S
CHEMBL1989834,49830958,210.23,C13H10N2O
CHEMBL1989856,135529650,251.24,C14H9N3O2
CHEMBL1989957,49830965,264.32,C17H16N2O
CHEMBL1990162,49830470,419.4,C24H17N7O
CHEMBL1990212,49830720,381.8,C19H16ClN5O2
CHEMBL1990223,46872619,380.3,C19H19Cl2NO3
CHEMBL1990254,49830481,317.4,C20H19N3O
CHEMBL1990288,49830403,399.4,C23H18FN5O
CHEMBL1990346,49830785,288.14,C13H10BrN3
CHEMBL1990415,49830924,289.29,C16H11N5O
CHEMBL1990482,9905711,238.24,C13H10N4O
CHEMBL1990496,49831009,461.6,C29H27N5O
CHEMBL1990583,44520205,405.4,C20H16FN7O2
CHEMBL1990590,136027070,335.8,C19H14ClN3O
CHEMBL1990635,21979999,388.4,C22H23F3N2O
CHEMBL1990821,49830848,427.5,C28H29NO3
CHEMBL1990884,49830900,390.4,C22H19FN4O2
CHEMBL1990885,3086686,398.5,C22H27FN4O2
CHEMBL1990904,49830607,360.4,C20H17FN6
CHEMBL1990912,49830587,265.31,C16H15N3O
CHEMBL1991008,49830784,209.25,C13H11N3
CHEMBL1991063,49830441,427.3,C22H20Cl2N4O
CHEMBL1991078,49830457,454.5,C25H22N6O3
CHEMBL1991138,11442386,453.6,C28H31N5O
CHEMBL1991143,49830933,339.8,C18H14ClN3O2
CHEMBL1991180,136027090,388.34,C15H16N8O5
CHEMBL1991188,49830825,380.4,C22H21FN2O3
CHEMBL1991285,49830837,429.9,C20H20ClN5O4
CHEMBL1991356,49830712,290.3,C18H14N2O2
CHEMBL1991377,136027076,293.24,C14H10F3N3O
CHEMBL1991395,49830606,392.4,C21H21FN6O
CHEMBL1991410,49830328,384.8,C19H11ClF2N4O
CHEMBL1991429,49830404,585.7,C33H27N7O2S
CHEMBL1991434,49830948,388.2,C18H14BrNO4
CHEMBL1991577,49830740,299.37,C17H21N3O2
CHEMBL1991640,49831017,399.4,C20H15F2N3O2S
CHEMBL1991674,49830293,343.8,C17H18ClN5O
CHEMBL1991678,16050450,424.4,C22H22F2N6O
CHEMBL1991725,22607531,479.6,C29H29N5O2
CHEMBL1991728,49830921,746.9,C32H50N20O2
CHEMBL1991734,49830922,301.4,C20H19N3
CHEMBL1991782,49830499,215.27,C12H9NOS
CHEMBL1991800,16050449,446.5,C25H27FN6O
CHEMBL1991818,49831042,331.4,C21H21N3O
CHEMBL1991846,49830744,331.4,C21H21N3O
CHEMBL1991867,49831028,174.61,C4H3ClN4S
CHEMBL1992042,23740938,434.5,C29H23FN2O
CHEMBL1992073,49830715,373.5,C18H23N5O2S
CHEMBL199210,16085320,482.6,C27H26N6OS
CHEMBL1992125,23536094,407.5,C22H25N5O3
CHEMBL1992220,49830309,413.9,C20H24ClN7O
CHEMBL1992231,49830520,325.30,C16H12FN5O2
CHEMBL1992242,49830388,373.5,C22H19N3OS
CHEMBL1992306,49830591,430.4,C21H17F3N4O3
CHEMBL1992323,135451585,220.61,C10H5ClN2O2
CHEMBL1992342,49830437,330.4,C16H18N4O2S
CHEMBL1992363,49830476,437.5,C25H23N7O
CHEMBL1992371,136027063,280.28,C15H12N4O2
CHEMBL1992536,49830543,348.4,C19H16N4O3
CHEMBL1992555,5216867,407.4,C19H13N5O4S
CHEMBL1992581,49830905,370.4,C20H16F2N2OS
CHEMBL1992607,49830946,179.18,C7H9N5O
CHEMBL1992634,49830292,273.13,C13H9BrN2
CHEMBL1992644,5207138,221.26,C14H11N3
CHEMBL1992645,49830781,567.6,C27H22FN3O6S2
CHEMBL1992673,135976272,220.61,C9H5ClN4O
CHEMBL1992723,18001010,194.23,C13H10N2
CHEMBL1992732,3662552,411.4,C18H21N9O3
CHEMBL1992740,49830929,429.5,C21H25F2N7O
CHEMBL1992796,136027083,399.9,C24H18ClN3O
CHEMBL1992922,49830286,284.31,C15H16N4O2
CHEMBL1992937,49831002,269.26,C13H11N5O2
CHEMBL1993166,49830867,775.9,C33H53N21O2
CHEMBL1993243,49830817,353.4,C18H15N3O3S
CHEMBL1993335,49830676,345.17,C15H10BrFN4
CHEMBL1993374,49830728,297.81,C12H16ClN5S
CHEMBL1993413,49830338,348.8,C19H13ClN4O
CHEMBL1993424,49830877,379.4,C19H17N5O2S
CHEMBL1993548,49830743,289.76,C15H16ClN3O
CHEMBL1993584,49830598,371.4,C23H21N3O2
CHEMBL1993634,49830657,514.6,C29H34N6O3
CHEMBL1993661,49830508,479.9,C20H22ClN5O5S
CHEMBL1993722,49830673,405.4,C21H16FN5O3
CHEMBL1993781,49830745,361.4,C22H23N3O2
CHEMBL199383,44406014,363.4,C20H17N3O2S
CHEMBL1993877,49830755,226.28,C13H14N4
CHEMBL1993904,11560418,401.4,C21H15N5O2S
CHEMBL1993941,49830360,486.6,C26H23FN6OS
CHEMBL1993996,49830385,393.4,C21H17F2N5O
CHEMBL1994040,25016360,450.5,C24H24F2N6O
CHEMBL1994074,623415,273.13,C13H9BrN2
CHEMBL1994159,49830871,237.26,C14H11N3O
CHEMBL1994241,2858224,370.2,C17H12BrN3O2
CHEMBL1994308,5111160,436.8,C20H16ClF3N4O2
